"","CODIGO_ENTIDAD","NOMBRE","TIPO_GESTION","ESTADO_LICENCIAMIENTO","PERIODO_LICENCIAMIENTO","DEPARTAMENTO_LOCAL","PROVINCIA_LOCAL","DISTRITO_LOCAL","LATITUD_UBICACION","LONGITUD_UBICACION"
"130","129","UNIVERSIDAD NACIONAL TECNOLÓGICA DE SAN JUAN DE LURIGANCHO","PÚBLICO","CON INFORME DE OBSERVACIONES (IO) NOTIFICADO",0,"LIMA","LIMA","SAN JUAN DE LURIGANCHO",-11.9835577,-77.0095209
"131","081","UNIVERSIDAD PERUANA DE CIENCIAS E INFORMÁTICA S.A.C.","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","JESÚS MARÍA",-12.0721316,-77.0420936
"132","021","UNIVERSIDAD NACIONAL FEDERICO VILLARREAL","PÚBLICO","LICENCIA OTORGADA",6,"LIMA","LIMA","LIMA",-12.0475424,-77.0405694
"133","023","UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN DE HUÁNUCO","PÚBLICO","LICENCIA OTORGADA",6,"HUÁNUCO","HUÁNUCO","PILLCO MARCA",-9.94963815588392,-76.2501182122685
"134","132","UNIVERSIDAD DE INGENIERÍA Y TECNOLOGÍA","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","BARRANCO",-12.1351091104402,-77.0219532987419
"135","143","UNIVERSIDAD PRIVADA PERUANO ALEMANA S.A.C.","PRIVADO","LICENCIA OTORGADA",6,"LIMA","LIMA","CHORRILLOS",-12.1661981575599,-77.0236681859957
"136","041","UNIVERSIDAD NACIONAL DE TUMBES","PÚBLICO","LICENCIA OTORGADA",6,"TUMBES","TUMBES","TUMBES",-3.585267,-80.443305
"137","031","UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO","PÚBLICO","CON INFORME DE OBSERVACIONES (IO) NOTIFICADO",0,"LAMBAYEQUE","LAMBAYEQUE","LAMBAYEQUE",-6.7070694143,-79.906696625
"138","024","UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","LINCE",-12.0828451,-77.0345819
"139","002","UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA","PÚBLICO","LICENCIA OTORGADA",6,"AYACUCHO","HUAMANGA","AYACUCHO",-13.1612654,-74.2257339
"140","078","UNIVERSIDAD PERUANA DE LAS AMÉRICAS S.A.C.","PRIVADO","LICENCIA DENEGADA",0,"LIMA","LIMA","LIMA",-12.0630477,-77.0380365
"141","053","UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE","PRIVADO","CON INFORME DE OBSERVACIONES (IO) NOTIFICADO",0,"ÁNCASH","SANTA","CHIMBOTE",-9.0738478814,-78.593556152
"142","007","UNIVERSIDAD NACIONAL AGRARIA LA MOLINA","PÚBLICO","LICENCIA OTORGADA",8,"LIMA","LIMA","LA MOLINA",-12.0784288171739,-76.9465945643444
"143","033","UNIVERSIDAD NACIONAL SANTIAGO ANTÚNEZ DE MAYOLO","PÚBLICO","LICENCIA OTORGADA",6,"ÁNCASH","HUARAZ","INDEPENDENCIA",-9.5176405656,-77.524566681
